id,source_id,timestamp,date,hour,type,channel,score,risk,risk_label,caller_origin,lang,age,age_group,gender,occupation,fraud_type,summary,indicators,indicator_labels,transcript_text
1,1,2025-03-10T10:23:00,2025-03-10,10,sms,smishing,93,red,Visticamāk krāpniecība,LV (VoIP),lv,58,50–64,female,pensioner,phishing_link,Citadele bankas uzdošanās SMS ar bloķēta konta draudiem un phishing saiti.,"[red]Steidzamības / draudu valoda//Frāzes 'bloķēts', 'izvairīties no slēgšanas' un '48 stundu laikā' ir tipiskas spiediena taktikas.|[red]Finanšu iestādes uzdošanās//Sūtītājs uzdodas par Citadele banku, bet ziņojums nāk no VoIP numura.|[red]Aizdomīga ārējā saite//Domēns 'citadele-verify[.]lv' nav bankas oficialais domēns.|[yellow]Neparasts numura izcelsmes reģions//Latvijas mobilā numura formāts, bet VoIP izcelsme — iespējams, nomaskēts numurs.",Steidzamības / draudu valoda | Finanšu iestādes uzdošanās | Aizdomīga ārējā saite | Neparasts numura izcelsmes reģions,"Sveiki, šī ir Citadele banka. Jūsu konts ir bloķēts neparastas darbības dēļ. Lai izvairītos no konta slēgšanas, nekavējoties apstipriniet savu identitāti: https://citadele-verify[.]lv/drosiba — 48 stundu laikā, pretējā gadījumā konts tiks slēgts."
2,2,2025-03-09T13:45:00,2025-03-09,13,sms,smishing,49,yellow,Neskaidrs,LV (Mobilais),lv,34,25–34,female,retail,delivery_fraud,Piegādes pakalpojuma uzdošanās SMS ar mikromaksājuma pieprasījumu.,"[yellow]Mikromaksājuma pieprasījums SMS//Nelielas maksas pieprasījumi pa SMS ir izplatīts piegādes krāpniecības veids, lai arī likumīgi pakalpojumi izmanto līdzīgus paziņojumus.|[yellow]Nesaistīts saites domēns//Domēns 'omniva-track.lv' nav saistīts ar zināmu kurjerdienesta zīmolu Latvijā.|[yellow]Minimāla sūtītāja identifikācija//Nav norādīts kurjerdienesta nosaukums vai izsekošanas numurs no lielā loģistikas uzņēmuma.",Mikromaksājuma pieprasījums SMS | Nesaistīts saites domēns | Minimāla sūtītāja identifikācija,"Atgādinājums: Jūsu sūtījums netika piegādāts šodien. Lai atbrīvotu pakotni, nepieciešams samaksāt €1,99 piegādes maksu: https://omniva-track.lv/maks — ref: LV7734"
3,3,2025-03-10T09:15:00,2025-03-10,09,sms,smishing,14,green,Visticamāk nav krāpniecība,LV (Īssavilkums),lv,45,35–49,female,healthcare,legitimate,Likumīgs veselības centra vizītes atgādinājums no reģistrēta burtciparu sūtītāja.,[yellow]Burtciparu sūtītāja ID//Sūtītāja ID 'VESELIBA' ir reģistrēts īssavilkuma formāts. Zems risks.,Burtciparu sūtītāja ID,"Veselības Centrs 4: Atgādinājums par Jūsu vizīti otrdien, 14. maijā plkst. 10:30. Apstipriniet ar JĀ vai zvaniet uz 67 201 007. Neatbildiet ar personas datiem vai maksājuma informāciju."
4,4,2025-03-10T11:02:00,2025-03-10,11,voice,vishing,91,red,Visticamāk krāpniecība,LV (VoIP),lv,67,65+,male,pensioner,government_impersonation,Valsts ieņēmumu dienesta uzdošanās ar nodokļu parāda draudiem un kartes datu pieprasīšanu.,"[red]Drauds no valdības iestādes uzdotāja//VID nekad nedraud ar tūlītēju aizturēšanu pa tālruni. Tas ir augsti ticams krāpniecības veids.|[red]Aizliegums beigt sarunu//Izolācijas taktika, ko izmanto, lai kontrolētu upuri zvana laikā.|[red]Tūlītējs maksājuma pieprasījums//Kartes datu pieprasīšana zvana laikā ir galvenais sarkanais karogs.|[yellow]VoIP izcelsme maskēta kā Latvijas numurs//Zvanītāja ID ir nomaskēts kā Rīgas ģeogrāfiskais numurs.",Drauds no valdības iestādes uzdotāja | Aizliegums beigt sarunu | Tūlītējs maksājuma pieprasījums | VoIP izcelsme maskēta kā Latvijas numurs,"S: Labdien, šis ir Valsts ieņēmumu dienests. Jums ir nodokļu parāds €2,340 apmērā par 2022.–2023. gada periodu. Ir izdots izpildes rīkojums. || V: Es nesaprotu — es neesmu saņēmis nekādas vēstules par šo... || S: Šis ir pēdējais brīdinājums. Jums nav atļauts beigt sarunu, pretējā gadījumā rīkojums tiks aktivizēts. Vai Jums ir pieejama debetkarte? || V: Man ir karte, bet es vēlētos vispirms piezvanīt VID tieši, lai pārbaudītu. || S: Jūs nevarat piezvanīt atpakaļ. Šī ir vienīgā aktīvā lietu izskatīšanas līnija. Iedodiet man kartes numuru — mēs varam nokārtot šo tagad. || V: Tas nešķiet pareizi. Es beidzu sarunu un sazināšos ar VID pats. || S: Nebeidziet sarunu. Tiesu izpildītāji ieradīsies 30 minūšu laikā. Šī ir Jūsu pēdējā iespēja nokārtot šo bez kriminālapsūdzībām."
5,5,2025-03-08T14:30:00,2025-03-08,14,voice,vishing,47,yellow,Neskaidrs,LV (VoIP),lv,29,25–34,female,IT,otp_theft,Tele2 uzdošanās ar OTP koda pieprasījumu — jaukti signāli.,[red]OTP iegūšanas mēģinājums//Pieprasījums nolasīt saņemto kodu tiek izmantots kontu pārņemšanai.|[yellow]Nevēlama telekomunikāciju uzņēmuma uzdošanās//Tele2 Latvija nezvana klientiem proaktīvi par pieteikšanās mēģinājumiem.|[yellow]VoIP izcelsme — nepārbaudāms//VoIP numuri bieži tiek izmantoti atbalsta krāpniecībā zemas izsekojamības dēļ.,OTP iegūšanas mēģinājums | Nevēlama telekomunikāciju uzņēmuma uzdošanās | VoIP izcelsme — nepārbaudāms,"S: Labdien, es zvanu no Tele2 Latvija tehniskā atbalsta. Mēs esam pamanījuši neparastas pieteikšanās darbības Jūsu kontā no nezināmas atrašanās vietas. || V: Jā, labi. No kādas atrašanās vietas? || S: Pieteikšanās mēģinājumi tika konstatēti no Lietuvas un Polijas. Tagad nosūtīšu divu faktoru verifikācijas kodu. Lūdzu, nolasiet man sešciparu kodu, lai pabeigtu verifikāciju. || V: Es tikko saņēmu kaut ko. Tur raksta 'Nekopīgojiet šo kodu ar citiem.' Vai man tomēr jums to jāsaka? || S: Šis ir standarta atrunas teksts. Mums nepieciešams kods, lai pabeigtu identitātes verifikāciju. Lūdzu, nolasiet to tagad."
6,6,2025-03-09T15:52:00,2025-03-09,15,voice,vishing,11,green,Visticamāk nav krāpniecība,LV (Fiksētais),lv,42,35–49,male,finance,legitimate,Likumīgs SEB bankas klientu atbalsta atzvans par regulāra maksājuma datuma maiņu.,[yellow]Daļēja identitātes verifikācija//Pēdējo četru personas koda ciparu pieprasīšana ir standarta bankas verifikācijas procedūra. Konteksts atbalsta likumību.,Daļēja identitātes verifikācija,"S: Labdien, šī ir Ieva no SEB bankas klientu atbalsta. Es zvanu sakarā ar Jūsu vakardienas pieprasījumu — atsauce KL-29314. Vai Jums tagad ir ērti runāt? || V: Jā, pareizi. Es jautāju par regulārā maksājuma datuma maiņu. || S: Lieliski. Pirms izmaiņu veikšanas man jāapstiprina daži drošības dati. Vai Jūs varat nosaukt pēdējos četrus Jūsu personas koda ciparus? || V: Jā, tie ir 2-1-4-7. || S: Paldies, apstiprināts. Tātad Jūs vēlaties mainīt maksājuma datumu no 5. uz 25. katru mēnesi — vai tas ir pareizi? || V: Jā, precīzi. || S: Izmaiņas ir veiktas. Apstiprinājuma vēstule tiks nosūtīta piecu darba dienu laikā."
7,7,2025-03-10T09:48:00,2025-03-10,09,voice,vishing,95,red,Visticamāk krāpniecība,LV (VoIP),lv,54,50–64,female,finance,bank_impersonation,Swedbank krāpšanas novēršanas departamenta uzdošanās ar kartes bloķēšanas draudiem.,"[red]Bankas krāpšanas nodaļas uzdošanās//Sūtītājs uzdodas par Swedbank drošību, bet zvana no nereģistrēta VoIP numura.|[red]Kartes bloķēšanas drauds//Tūlītējas bloķēšanas draudi tiek izmantoti, lai radītu paniku un piespiestu rīkoties.|[red]Pilna kartes datu pieprasīšana//Likumīga banka nekad nepieprasa pilnu kartes numuru pa tālruni.|[yellow]VoIP numurs//Fiksēto Rīgas numuru simulācija no VoIP infrastruktūras.",Bankas krāpšanas nodaļas uzdošanās | Kartes bloķēšanas drauds | Pilna kartes datu pieprasīšana | VoIP numurs,"S: Labdien, šis ir Mārtiņš no Swedbank krāpšanas novēršanas dienesta. Mēs esam konstatējuši aizdomīgu darījumu Jūsu kartē par €847 no Spānijas. || V: Nē, tas neesmu bijis es. Kas notiks? || S: Mums nekavējoties jābloķē Jūsu karte. Lai to izdarītu, man jāapstiprina Jūsu identitāte. Lūdzu, nosauciet savu 16 ciparu kartes numuru. || V: Vai tiešām tas ir vajadzīgs? || S: Jā, pretējā gadījumā darījums tiks autorizēts un nauda pazudīs. Jums ir mazāk par minūti, lai reaģētu. || V: Labi... kartes numurs ir... || S: Paldies. Tagad man vajag arī CVV kodu aiz kartes."
8,8,2025-03-10T10:37:00,2025-03-10,10,voice,vishing,97,red,Visticamāk krāpniecība,LV (VoIP),lv,61,50–64,male,pensioner,government_impersonation,Kibernoziegumu policijas uzdošanās ar aizturēšanas draudu un naudas pārskaitīšanas pieprasījumu.,"[red]Tiesībsargājošo iestāžu uzdošanās//Policija nekad nepieprasa maksājumus pa tālruni, lai novērstu aizturēšanu.|[red]Aizturēšanas draudi//Tūlītējas kriminālsankcijas draudi tiek izmantoti, lai paralyzētu upura domāšanu.|[red]Naudas pārskaitīšanas pieprasījums//Pieprasījums pārskaitīt naudu 'drošajā kontā' ir krāpniecības klasika.|[yellow]Numura spoofing//VoIP numurs imitē Rīgas policijas numurus.",Tiesībsargājošo iestāžu uzdošanās | Aizturēšanas draudi | Naudas pārskaitīšanas pieprasījums | Numura spoofing,"S: Labdien, šis ir kapteinis Ozols no Valsts policijas kibernoziegumu nodaļas. Mums ir orderis par Jūsu bankas konta iesaldēšanu saistībā ar naudas atmazgāšanas izmeklēšanu. || V: Kas? Tas nevar būt. Es neesmu darījis neko pretlikumīgu. || S: Mums ir pierādījumi par aizdomīgiem darījumiem. Lai novērstu aresta orderi, Jums nekavējoties jāpārvieto nauda uz mūsu drošo izmeklēšanas kontu. || V: Vai man nevajadzētu konsultēties ar advokātu? || S: Advokātu iesaistīšana aizkavētu procesu un izraisītu automātisku aizturēšanu. Jums ir 20 minūtes, lai pieņemtu lēmumu. || V: Es nezinu... tas šķiet dīvaini. || S: Šī ir Jūsu pēdējā iespēja izvairīties no aresta. Dariet to tagad."
9,9,2025-03-10T11:19:00,2025-03-10,11,voice,vishing,84,red,Visticamāk krāpniecība,LV (VoIP),ru,71,65+,female,pensioner,government_impersonation,VSAA pensijas departamenta uzdošanās krieviski ar personas datu pieprasīšanu.,"[red]Sociālo dienestu uzdošanās//VSAA nezvana pensionāriem, pieprasot personas datu apstiprināšanu pa tālruni.|[red]Sensitīvu personas datu pieprasīšana//Pilna personas koda, konta numura un adrese pieprasīšana vienā zvanā.|[yellow]Mērķēšana uz vecāka gadagājuma iedzīvotājiem krievu valodā//Krievu valodā runājošie pensionāri ir iecienīts mērķis šim krāpniecības veidam.|[yellow]VoIP numurs ar Rīgas prefiksu//Zvans nāk no VoIP infrastruktūras, nevis no VSAA numuriem.",Sociālo dienestu uzdošanās | Sensitīvu personas datu pieprasīšana | Mērķēšana uz vecāka gadagājuma iedzīvotājiem krievu valodā | VoIP numurs ar Rīgas prefiksu,"S: Zdravstvuyte, eto VSAA pensionnyy otdel. Nam nuzhno podtverdit' vashi lichnyye dannyye dlya pereraschetа pensii. || V: Khorosho, chto vam nuzhno? || S: Pozhaluysta, nazvite vash polnyy nomer lichnosti, nomer bankovskogo scheta i adres registratsii. || V: A zachem vam nomer scheta? || S: Eto neobkhodimo dlya perevoda novoy summy pensii. Yesli vy ne podtverdite, vasha pensiya budet priostanovlena. || V: Nu ladno... moy nomer lichnosti... || S: Otlichno. Teper' nomer bankovskogo scheta, pozhaluysta."
10,10,2025-03-09T12:44:00,2025-03-09,12,voice,vishing,62,yellow,Neskaidrs,LV (VoIP),lv,32,25–34,male,IT,otp_theft,LMT tehniskā atbalsta uzdošanās ar OTP koda pieprasījumu — neskaidri signāli.,[red]OTP pieprasījums zvana laikā//Jebkurš pieprasījums nolasīt saņemtu kodu citai personai ir augsta riska signāls.|[yellow]Telekomunikāciju uzņēmuma uzdošanās//LMT proaktīvi nezvana klientiem par pieteikšanās anomālijām.|[yellow]VoIP izcelsme//Numurs nereģistrēts LMT infrastruktūrā.,OTP pieprasījums zvana laikā | Telekomunikāciju uzņēmuma uzdošanās | VoIP izcelsme,"S: Labdien, šis ir Rihards no LMT tehniskā atbalsta. Mūsu sistēma konstatēja neatļautu piekļuves mēģinājumu Jūsu kontam. || V: Ak, nē. Ko man darīt? || S: Mums jāpārbauda Jūsu identitāte. Es nosūtīšu SMS ar verifikācijas kodu — lūdzu, nolasiet to man. || V: Esmu saņēmis. Tur raksta, ka kods nav jādalās ar citiem. || S: Tas ir standarta teksts. Mūsu drošības komandai kods ir nepieciešams, lai bloķētu nesankcionēto piekļuvi. || V: Es labāk piezvanu LMT tieši, lai pārbaudītu. || S: Tas aizkavēs procesu un Jūsu konts paliks neaizsargāts."
